region,code
Aceh,ID-AC
Bali,ID-BA
Bangka Belitung Islands,ID-BB
Banten,ID-BT
Bengkulu,ID-BE
Central Java,ID-JT
Central Kalimantan,ID-KT
Central Sulawesi,ID-ST
East Java,ID-JI
East Kalimantan,ID-KI
East Nusa Tenggara,ID-NT
Gorontalo,ID-GO
Jambi,ID-JA
Lampung,ID-LA
Maluku,ID-MA
North Kalimantan,ID-KU
North Maluku,ID-MU
North Sulawesi,ID-SA
North Sumatra,ID-SU
Papua,ID-PA
Riau,ID-RI
Riau Islands,ID-KR
South East Sulawesi,ID-SG
South Kalimantan,ID-KS
South Sulawesi,ID-SN
South Sumatra,ID-SS
Jakarta,ID-JK
Yogyakarta,ID-YO
West Java,ID-JB
West Kalimantan,ID-KB
West Nusa Tenggara,ID-NB
West Papua,ID-PB
West Sulawesi,ID-SR
West Sumatra,ID-SB
